"日期","原始文件","处理状态","来源页/说明"
"2026-07-13","99%的人不知道，Mac最强的功能，根本不在系统里.md","已摄取","wiki/来源/2026-07-13 Mac最强的功能是设备协同.md"
"2026-07-13","怎么主动扩展自己的社交人脉？.md","已摄取","wiki/来源/2026-07-13 怎么主动扩展自己的社交人脉.md；结合01 Inbox完整正文"
"2026-07-14","Codex skills 能力管理台账.md","已摄取","wiki/来源/2026-07-14 Codex skills能力管理台账.md"
"2026-07-14","核心力+AI： 3 个月走完“方法论 + AI 驱动工作流”的蜕变之路.md","跳过","只有课程页面跳转信息，无有效正文"
"2026-07-14","核心力+AI-他的能力和收入在今年迎来爆发式增长.md","跳过","只有课程页面跳转信息，无有效正文"
"2026-07-14","世界观决定你看到什么，人生观决定你在意什么，价值观决定你选择什么。三者必须逻辑自洽，才能形成真正的内在力量。.md","已摄取","wiki/来源/2026-07-14 三观逻辑自洽形成内在力量.md"
"2026-07-15","宁可十年不将军，不可一日不拱卒。.md","已摄取","wiki/来源/2026-07-15 宁可十年不将军不可一日不拱卒.md"
"2026-07-16","《党建不是“包办”，而是“带头”》.md","已摄取","wiki/来源/2026-07-16 党建不是包办而是带头.md"
"2026-07-16","党建天天说“凝心聚力”，到底靠什么落地？.md","已摄取","wiki/来源/2026-07-16 党建凝心聚力要靠企业文化落地.md"
"2026-07-16","发展对象当年未发展，次年怎么办？.md","已摄取","wiki/来源/2026-07-16 发展对象当年未发展次年怎么办.md"
"2026-07-16","你的认知水平，大概率不会超过身边最密切的五个人.md","已摄取","wiki/来源/2026-07-16 认知环境决定认知上限.md"
"2026-07-16","为什么你的团队总带不动？不是你的问题，是你不懂“等靠要”背后的真相.md","已摄取","wiki/来源/2026-07-16 团队等靠要背后的管理机制.md"
"2026-07-18","WorkBuddy 十大场景实战：把杂活交给 AI 解放双手.md","已摄取","wiki/来源/2026-07-18 WorkBuddy十大工作场景.md"
"2026-07-18","为什么我越来越喜欢在Obsidian里聊天？.md","已摄取","wiki/来源/2026-07-18 为什么在Obsidian里与AI聊天.md"
"2026-07-19","人到中年，不能长期吃太差的食物.md","已摄取","wiki/来源/2026-07-19 人到中年不能长期吃太差的食物.md"
"2026-07-20","Skill最大的价值，在于不断沉淀隐性经验.md","已摄取","wiki/来源/2026-07-20 Skill沉淀隐性经验.md"
"2026-07-20","按照这4步做，你读过的每一篇文章，都不会再是白读.md","不完整摄取","wiki/来源/2026-07-20 阅读转化四步法正文未完整同步.md；只保留引言，未臆造步骤"
"2026-07-21","Obsidian使用必备：如何将PDF、DOCX、XLSX文档批量转为Markdown？.md","已摄取","wiki/来源/2026-07-21 多格式文档批量转换Markdown.md"
"2026-07-22","一个人的天花板，99%是生态位决定.md","已摄取","wiki/来源/2026-07-22 生态位决定个人天花板.md"
"2026-07-23","党建“难点即亮点”和“难点变亮点”，一张表说清核心区别.md","已摄取","wiki/来源/2026-07-23 党建难点即亮点与难点变亮点.md"
"2026-07-23","发展党员到底要公示几次？明确要求的，其实是这三次.md","已摄取","wiki/来源/2026-07-23 发展党员明确要求的三次公示.md"
"2026-07-23","凡事发生皆有利，要么助你成长，要么渡你重生（毛选思维）.md","已摄取","wiki/来源/2026-07-23 凡事发生皆可转化为成长条件.md"
"2026-07-23","如何理解习近平党建思想的科学内涵.md","已摄取","wiki/来源/2026-07-23 如何理解习近平党建思想的科学内涵.md"
"2026-07-23","深学细悟习近平党建思想 实干实绩建功“十五五” 市委直属机关工委举办市直机关讲堂.md","已摄取","wiki/来源/2026-07-23 焦作市直机关讲堂学习习近平党建思想.md"
"2026-07-23","知识星球 - 深度连接铁杆粉丝，运营高品质社群，知识变现的工具.md","跳过","只有网页标题和跳转信息，无有效正文"
"2026-07-24","有嫔妃思维的人，活的是很惨的.md","已摄取","wiki/来源/2026-07-24 嫔妃思维与外部评价依赖.md"
"2026-07-25","未来一定会极度稀缺的一种能力.md","已摄取","wiki/来源/2026-07-25 AI时代稀缺的是提出好问题的能力.md"
"2026-07-25","笔记同步助手/未命名.md","跳过","空文件，大小为0字节，无可摄取内容"
