"Page","Summary","Date","Category"
"wiki/来源/2026-07-06 如何快速分析事物的逻辑关系","围绕如何快速分析事物的逻辑关系？，提炼从碎片信息中识别结构、关系、矛盾和方法模型的认知加工方式。","2026-07-06","认知结构化"
"wiki/来源/2026-07-06 腾讯 WorkBuddy 爆了但真正看懂的人不到 10%","围绕腾讯 WorkBuddy 爆了，但真正看懂的人不到 10%，提炼 AI Agent、Codex Skill、Obsidian/飞书知识库等工具进入日常工作流的方法。","2026-07-06","Agent技能化工作流"
"wiki/来源/2026-07-07 什么是认知认知的本质是什么","围绕什么是认知？认知的本质是什么？，提炼从碎片信息中识别结构、关系、矛盾和方法模型的认知加工方式。","2026-07-07","认知结构化"
"wiki/来源/2026-07-07 开源用手机控制电脑上的 Codex - Claude Code 写代码","围绕开源！用手机控制电脑上的 Codex - Claude Code 写代码，提炼 AI Agent、Codex Skill、Obsidian/飞书知识库等工具进入日常工作流的方法。","2026-07-07","Agent技能化工作流"
"wiki/来源/2026-07-08 当你明白了人性就不痛苦了；当你读透了历史就政治成熟了","围绕当你明白了人性，就不痛苦了；当你读透了历史，就政治成熟了，提炼从人性、历史、关系和利益结构理解沟通与处事的成熟方法。","2026-07-08","政治成熟"
"wiki/来源/2026-07-09 Codex+Obsidian：拆 30-60-90 秒脚本","围绕Codex+Obsidian：拆 30-60-90 秒脚本，提炼用 AI/Codex 拆解内容、形成模板并服务持续创作的工作流。","2026-07-09","AI驱动的内容拆解"
"wiki/来源/2026-07-09 不会代码也能做：用 Codex + Obsidian + 飞书搭建自动化知识库","围绕不会代码也能做：用 Codex + Obsidian + 飞书搭建自动化知识库，提炼 AI Agent、Codex Skill、Obsidian/飞书知识库等工具进入日常工作流的方法。","2026-07-09","Agent技能化工作流"
"wiki/来源/2026-07-09 你永远说服不了一个只想赢的人这就是政治成熟的开始","围绕你永远说服不了一个只想赢的人，这就是政治成熟的开始，提炼从人性、历史、关系和利益结构理解沟通与处事的成熟方法。","2026-07-09","政治成熟"
"wiki/来源/2026-07-09 焦作博爱这家网红小吃店吸引了很多外地人专门来打卡他家的美食","围绕焦作博爱这家网红小吃店，吸引了很多外地人专门来打卡他家的美食！，记录焦作本地生活消费与口碑传播现象，可作为本地文旅、门店获客和服务业观察素材。","2026-07-09","本地生活观察"
"wiki/来源/2026-07-09 焦作这家苍蝇小店看着不起眼但是到吃饭点来吃的人特别多","围绕焦作这家苍蝇小店，看着不起眼但是到吃饭点来吃的人特别多！，记录焦作本地生活消费与口碑传播现象，可作为本地文旅、门店获客和服务业观察素材。","2026-07-09","本地生活观察"
"wiki/来源/2026-07-10 我把 Hermes 的核心引擎整个搬进 Obsidian果然效果很炸裂工作效率猛升","围绕我把 Hermes 的核心引擎整个搬进 Obsidian，果然，效果很炸裂，工作效率猛升，提炼 AI Agent、Codex Skill、Obsidian/飞书知识库等工具进入日常工作流的方法。","2026-07-10","Agent技能化工作流"
"wiki/来源/2026-07-10 爆肝3周我用Codex重构了整个Obsidian知识库比手动整理强10倍","围绕爆肝3周，我用Codex重构了整个Obsidian知识库，比手动整理强10倍，提炼 AI Agent、Codex Skill、Obsidian/飞书知识库等工具进入日常工作流的方法。","2026-07-10","Agent技能化工作流"
"wiki/来源/2026-07-10 贵人喜欢提拔的是另一个自己","围绕贵人喜欢提拔的，是另一个自己。，提炼从人性、历史、关系和利益结构理解沟通与处事的成熟方法。","2026-07-10","政治成熟"
"wiki/来源/2026-07-11 小象AI开发产品技能包开源16个skill从想法到上线（全部免费公开）","围绕小象AI开发产品技能包开源，16个skill从想法到上线（全部免费公开），提炼 AI Agent、Codex Skill、Obsidian/飞书知识库等工具进入日常工作流的方法。","2026-07-11","Agent技能化工作流"
"wiki/来源/2026-07-12 AI 工程化思维：真正重要的不是工具而是重新定义问题","围绕AI 工程化思维：真正重要的不是工具，而是重新定义问题，提炼 AI Agent、Codex Skill、Obsidian/飞书知识库等工具进入日常工作流的方法。","2026-07-12","Agent技能化工作流"
"wiki/来源/2026-07-12 Codex 最强的 6 个 Skill看看你装了几个","围绕Codex 最强的 6 个 Skill，看看你装了几个？，提炼 AI Agent、Codex Skill、Obsidian/飞书知识库等工具进入日常工作流的方法。","2026-07-12","Agent技能化工作流"
"wiki/来源/2026-07-12 Codex 装了这 3 个 Skills 后我终于不用反复教它做事了","围绕Codex 装了这 3 个 Skills 后，我终于不用反复教它做事了，提炼 AI Agent、Codex Skill、Obsidian/飞书知识库等工具进入日常工作流的方法。","2026-07-12","Agent技能化工作流"
"wiki/来源/2026-07-12 《毛选》中解决问题的“万能公式”真正厉害的人都在用","围绕《毛选》中解决问题的“万能公式”，真正厉害的人都在用！，提炼从碎片信息中识别结构、关系、矛盾和方法模型的认知加工方式。","2026-07-12","认知结构化"
"wiki/来源/2026-07-12 《毛选》里的制胜逻辑：一套解决问题的“万能公式”","围绕《毛选》里的制胜逻辑：一套解决问题的“万能公式”，提炼从碎片信息中识别结构、关系、矛盾和方法模型的认知加工方式。","2026-07-12","认知结构化"
"wiki/来源/2026-07-12 先进典型事迹材料拆解：写人不堆砌事迹立体呈现干部形象","围绕先进典型事迹材料拆解：写人不堆砌事迹，立体呈现干部形象，提炼材料写作中从事实到结构、从任务到价值的表达方法。","2026-07-12","材料写作结构化"
"wiki/来源/2026-07-12 党员档案丢失别慌按中组部流程补办就行","围绕党员档案丢失，别慌，按中组部流程补办就行，提炼发展党员流程、材料审核、政治审查、档案管理和转正考察中的实务要点。","2026-07-12","发展党员实务"
"wiki/来源/2026-07-12 写材料不会拔高记住这3个层次就够了","围绕写材料不会拔高？记住这3个层次就够了，提炼材料写作中从事实到结构、从任务到价值的表达方法。","2026-07-12","材料写作结构化"
